"input_search","acceptedScientificName","acceptedTaxonKey","basisOfRecord","coordinateUncertaintyInMeters","country","countryCode","datasetKey","degreeOfEstablishment","establishmentMeans","individualCount","institutionCode","occurrenceStatus","publishingOrgKey","scientificName","taxonKey","taxonomicStatus","taxonRank","year","occurrence_type","lon","lat"
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",NA,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex maritimus subsp. palustris (Sm.) Hook.fil.",11950958,"SYNONYM","SUBSPECIES",2025,NA,6.2,53.45
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",4.7,52.5
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex maritimus subsp. palustris (Sm.) Hook.fil.",11950958,"SYNONYM","SUBSPECIES",2025,"native",4.7,52.55
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",10,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,NA,12.90592,55.39885
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",5.35,53.4
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",NA,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",4.95,52.55
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",290,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,NA,16.37392,56.48339
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",4.75,52.5
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",3,"Denmark","DK","963a6b96-4d22-4428-86e4-afee52cf4a8e",NA,NA,NA,"SGAV-and-NHMD","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,NA,11.712607,55.064767
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",14,"Denmark","DK","963a6b96-4d22-4428-86e4-afee52cf4a8e",NA,NA,NA,"SGAV-and-NHMD","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,NA,11.700314,55.06653
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",NA,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",4.95,52.45
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",250,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,3,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2025,"native",19.13885,57.91727
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",104.89,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",11.449818,55.656327
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",3,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",9.928735,55.696564
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",4.8,52.45
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",4.95,52.5
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",238.42,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",10.003948,55.737187
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",134.41,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",9.888962,55.689106
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",3,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",9.96079,55.748556
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",10,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",13.26264,55.77281
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",171,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",12.96804,55.4356
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",25,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,16.37543,56.48293
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",770,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,10,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",13.26543,55.77532
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",6.05,53.05
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",250,"Germany","DE","6ac3f774-d9fb-4796-b3e9-92bf6c81c084",NA,NA,NA,"NABU|naturgucker","PRESENT","bb646dff-a905-4403-a49b-6d378c2cf0d9","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",14.276976,53.028622
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",68.55,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,9.69888,55.359525
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",128.57,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,9.703205,55.359186
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",76.06,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",10.240416,55.57284
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",55.54,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",10.183229,55.579938
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",21.04,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,10.158407,55.580656
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",140.48,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",12.547009,55.799313
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",12,"Denmark","DK","963a6b96-4d22-4428-86e4-afee52cf4a8e",NA,NA,NA,"SGAV-and-NHMD","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.723446,55.065262
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",10,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,100,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",18.67768,57.23031
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",4.65,52.4
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",10,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,NA,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",13.68156,55.57062
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",5000,"Netherlands","NL","8a863029-f435-446a-821e-275f4f641165",NA,NA,1,NA,"PRESENT","c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,6.1,53.45
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",10,"Sweden","SE","38b4c89f-584c-41bb-bd8f-cd1def33e92f",NA,NA,1,"SLU Artdatabanken","PRESENT","b8323864-602a-4a7d-9127-bb903054e97d","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",13.15159,55.73502
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",137.46,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.712615,55.065576
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",22.29,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.705283,55.066557
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",64.38,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.702336,55.067058
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",53.04,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.705212,55.068412
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",78.66,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.71272,55.064172
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",51.89,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.721942,55.063715
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",31.74,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.722911,55.063938
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",36.14,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.71041,55.065578
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",12.56,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.662726,55.07541
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",23.05,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.756348,55.115593
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",18.58,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",11.785415,55.128402
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",39.91,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,NA,11.748333,55.101394
"Rumex palustris","Rumex palustris Sm.",4037603,"HUMAN_OBSERVATION",65.88,"Denmark","DK","67fabcac-a638-40a6-9bea-aeca8aced9f1",NA,NA,NA,"DMP","PRESENT","1a4e6112-b3af-402e-b29f-c2ade2167f72","Rumex palustris Sm.",4037603,"ACCEPTED","SPECIES",2024,"native",11.748608,55.282211
