"voxel_id","lon","lat","PC1","PC2","PC3","bin_PC1","bin_PC2","bin_PC3"
"6_6_8",8.874801,50.224906,0.261842928156088,1.50394312730035,0.463541649316144,6,6,8
"6_6_8",7.4654,48.81741,0.111095239181678,1.10589806278105,0.781002971334446,6,6,8
"6_6_8",7.49065,48.41931,0.0157207339387233,1.03236034305148,0.775662418609279,6,6,8
"6_6_8",9.87483,49.474918,-0.975733659301399,1.49527363690176,0.150714649958978,6,6,8
"6_5_8",3.95198,45.01016,0.453406241726195,0.56171524736771,0.879502653420071,6,5,8
"6_5_8",5.1398,48.09788,-0.186858780162062,0.0538805701002187,0.893048391322158,6,5,8
"6_5_8",6.55826,46.56536,-0.103561821888945,0.314751149181749,0.10795598759835,6,5,8
"6_5_8",6.78531,47.47387,-0.636451540329815,0.199347164954131,0.432381829864012,6,5,8
"6_5_8",3.82506,45.01118,-0.59206679315641,0.289385318989103,0.842892253923155,6,5,8
"7_5_7",6.04137,45.49079,1.78990169621354,-0.0916804162818348,-0.766455605036881,7,5,7
"7_5_7",5.09734,45.08454,2.35200979024606,-0.141582348363259,-0.0320542729136438,7,5,7
"7_5_7",5.63085,45.61379,2.0919481312536,-0.0123125117152949,-0.135281340449499,7,5,7
"7_5_7",5.66182,45.59053,2.0919481312536,-0.0123125117152949,-0.135281340449499,7,5,7
"6_5_9",3.03216,45.7571,0.126198089649811,-0.0630791817812986,1.30420954906875,6,5,9
"6_5_9",3.76472,49.7455,0.226154600443498,-0.347953002730845,1.03048089168781,6,5,9
"6_5_9",3.03814,45.8962,0.522870479727418,-0.0102776670158199,1.34421599445458,6,5,9
"6_5_9",7.624762,47.574874,-0.213499734336279,0.45784594022844,1.0766645361575,6,5,9
"6_5_9",7.791436,47.924883,-0.507366574237425,0.310545912594609,1.06374376405785,6,5,9
"9_4_7",5.0576,44.00465,5.69092944843473,-1.29179195593287,-0.917896316605777,9,4,7
"8_5_8",4.97664,45.26689,2.64225362748314,0.404642570967876,0.413431237124042,8,5,8
"8_5_8",4.84618,45.17905,2.84230227414911,0.42623245777224,0.415897745946891,8,5,8
"8_5_8",4.8151,45.20208,2.79806783733772,0.441628438731022,0.441037410642021,8,5,8
"8_5_8",4.99598,45.807,2.49451334821062,0.505757718911341,0.480891372244589,8,5,8
"8_5_8",4.86422,45.71918,2.68359595609742,0.55066760556708,0.503247039350143,8,5,8
